split,label,filename,width,height,sharpness,brightness,contrast,noise,saturation,entropy,edge_density
train,blur,dataset\generated\train\blur\IMG20240722164538_blur.jpg,4928,6560,8.331,183.0671,61.2037,0.6929,0.2284,7.1897,0.007
train,blur,dataset\generated\train\blur\IMG20240801122708_blur.jpg,3072,4096,19.1898,124.4526,74.195,1.0599,0.2872,7.6363,0.0147
train,blur,dataset\generated\train\blur\IMG20240805153517_blur.jpg,2304,4096,4.5574,123.7388,67.4659,0.4933,0.276,7.1329,0.0055
train,blur,dataset\generated\train\blur\IMG20240807161856_blur.jpg,2304,4096,12.818,161.4005,54.6318,0.8752,0.1829,7.4093,0.0092
train,blur,dataset\generated\train\blur\IMG20240811194131_blur.jpg,2304,4096,5.0446,73.6393,44.5753,0.5148,0.4122,7.088,0.0052
train,blur,dataset\generated\train\blur\IMG20240811194435_blur.jpg,2304,4096,8.2181,63.8389,41.152,0.686,0.434,6.9533,0.0076
train,blur,dataset\generated\train\blur\IMG20240811194518_blur.jpg,2304,4096,7.0941,68.3475,57.6526,0.6308,0.362,7.1435,0.0107
train,blur,dataset\generated\train\blur\IMG20240812195118_blur.jpg,4096,2304,3.2499,51.9766,29.7279,0.3919,0.5115,6.705,0.0012
train,blur,dataset\generated\train\blur\IMG20240815115806_blur.jpg,2304,4096,57.9897,122.6419,63.193,1.8416,0.4036,7.7516,0.0606
train,blur,dataset\generated\train\blur\IMG20240817100342_blur.jpg,1836,3264,27.95,115.5724,62.0382,1.2866,0.3065,7.6695,0.0378
train,blur,dataset\generated\train\blur\IMG20240901193046_blur.jpg,2304,4096,6.606,116.8695,60.313,0.6056,0.2576,7.6641,0.0119
train,blur,dataset\generated\train\blur\IMG_20240714_161410_blur.jpg,3264,1472,2.8928,115.6253,60.4098,0.3662,0.212,7.6017,0.0028
train,blur,dataset\generated\train\blur\IMG_20240714_163506_blur.jpg,4080,1836,11.4627,87.1309,50.2773,0.8198,0.3941,7.5078,0.0198
train,blur,dataset\generated\train\blur\IMG_20240714_163511_blur.jpg,1836,4080,11.9582,79.7178,40.1926,0.8379,0.4389,6.9444,0.017
train,blur,dataset\generated\train\blur\IMG_20240714_163556_blur.jpg,1836,4080,20.1755,83.5906,50.8846,1.0915,0.3821,7.3951,0.0217
train,blur,dataset\generated\train\blur\IMG_20240714_170828_blur.jpg,1836,4080,31.1016,102.8218,55.0421,1.3442,0.4985,7.4778,0.0191
train,blur,dataset\generated\train\blur\IMG_20240716_023503_blur.jpg,4656,2620,8.2841,98.0612,50.5732,0.6938,0.2489,7.4601,0.0071
train,blur,dataset\generated\train\blur\IMG_20240716_075703_blur.jpg,2252,4000,29.3133,142.6413,47.4219,1.3145,0.1642,7.4112,0.0279
train,blur,dataset\generated\train\blur\IMG_20240716_080446_blur.jpg,1836,4080,39.1007,136.682,51.4024,1.5247,0.2443,7.5663,0.0303
train,blur,dataset\generated\train\blur\IMG_20240716_083506_blur.jpg,4080,1836,104.4682,97.4361,43.3433,2.447,0.3091,7.3859,0.096
train,blur,dataset\generated\train\blur\IMG_20240716_111214_blur.jpg,2252,4000,18.5679,147.3307,36.3751,1.0533,0.2271,7.1694,0.0115
