split,source_image,filename,label
train,IMG20240811194435.jpg,dataset\generated\train\clean\IMG20240811194435_clean.jpg,clean
train,IMG20240811194435.jpg,dataset\generated\train\blur\IMG20240811194435_blur.jpg,blur
train,IMG20240811194435.jpg,dataset\generated\train\underexposure\IMG20240811194435_underexposure.jpg,underexposure
train,IMG20240811194435.jpg,dataset\generated\train\overexposure\IMG20240811194435_overexposure.jpg,overexposure
train,IMG20240811194435.jpg,dataset\generated\train\noise\IMG20240811194435_noise.jpg,noise
train,IMG20240811194435.jpg,dataset\generated\train\severe_degradation\IMG20240811194435_severe_degradation.jpg,severe_degradation
train,IMG20240815115806.jpg,dataset\generated\train\clean\IMG20240815115806_clean.jpg,clean
train,IMG20240815115806.jpg,dataset\generated\train\blur\IMG20240815115806_blur.jpg,blur
train,IMG20240815115806.jpg,dataset\generated\train\underexposure\IMG20240815115806_underexposure.jpg,underexposure
train,IMG20240815115806.jpg,dataset\generated\train\overexposure\IMG20240815115806_overexposure.jpg,overexposure
train,IMG20240815115806.jpg,dataset\generated\train\noise\IMG20240815115806_noise.jpg,noise
train,IMG20240815115806.jpg,dataset\generated\train\severe_degradation\IMG20240815115806_severe_degradation.jpg,severe_degradation
train,IMG20240805153517.jpg,dataset\generated\train\clean\IMG20240805153517_clean.jpg,clean
train,IMG20240805153517.jpg,dataset\generated\train\blur\IMG20240805153517_blur.jpg,blur
train,IMG20240805153517.jpg,dataset\generated\train\underexposure\IMG20240805153517_underexposure.jpg,underexposure
train,IMG20240805153517.jpg,dataset\generated\train\overexposure\IMG20240805153517_overexposure.jpg,overexposure
train,IMG20240805153517.jpg,dataset\generated\train\noise\IMG20240805153517_noise.jpg,noise
train,IMG20240805153517.jpg,dataset\generated\train\severe_degradation\IMG20240805153517_severe_degradation.jpg,severe_degradation
train,IMG_20240716_083506.jpg,dataset\generated\train\clean\IMG_20240716_083506_clean.jpg,clean
train,IMG_20240716_083506.jpg,dataset\generated\train\blur\IMG_20240716_083506_blur.jpg,blur
train,IMG_20240716_083506.jpg,dataset\generated\train\underexposure\IMG_20240716_083506_underexposure.jpg,underexposure
train,IMG_20240716_083506.jpg,dataset\generated\train\overexposure\IMG_20240716_083506_overexposure.jpg,overexposure
train,IMG_20240716_083506.jpg,dataset\generated\train\noise\IMG_20240716_083506_noise.jpg,noise
train,IMG_20240716_083506.jpg,dataset\generated\train\severe_degradation\IMG_20240716_083506_severe_degradation.jpg,severe_degradation
train,Snapchat-468199842.jpg,dataset\generated\train\clean\Snapchat-468199842_clean.jpg,clean
train,Snapchat-468199842.jpg,dataset\generated\train\blur\Snapchat-468199842_blur.jpg,blur
train,Snapchat-468199842.jpg,dataset\generated\train\underexposure\Snapchat-468199842_underexposure.jpg,underexposure
train,Snapchat-468199842.jpg,dataset\generated\train\overexposure\Snapchat-468199842_overexposure.jpg,overexposure
train,Snapchat-468199842.jpg,dataset\generated\train\noise\Snapchat-468199842_noise.jpg,noise
train,Snapchat-468199842.jpg,dataset\generated\train\severe_degradation\Snapchat-468199842_severe_degradation.jpg,severe_degradation
train,IMG_20240714_163506.jpg,dataset\generated\train\clean\IMG_20240714_163506_clean.jpg,clean
train,IMG_20240714_163506.jpg,dataset\generated\train\blur\IMG_20240714_163506_blur.jpg,blur
train,IMG_20240714_163506.jpg,dataset\generated\train\underexposure\IMG_20240714_163506_underexposure.jpg,underexposure
train,IMG_20240714_163506.jpg,dataset\generated\train\overexposure\IMG_20240714_163506_overexposure.jpg,overexposure
train,IMG_20240714_163506.jpg,dataset\generated\train\noise\IMG_20240714_163506_noise.jpg,noise
train,IMG_20240714_163506.jpg,dataset\generated\train\severe_degradation\IMG_20240714_163506_severe_degradation.jpg,severe_degradation
train,IMG_20240716_150528.jpg,dataset\generated\train\clean\IMG_20240716_150528_clean.jpg,clean
train,IMG_20240716_150528.jpg,dataset\generated\train\blur\IMG_20240716_150528_blur.jpg,blur
train,IMG_20240716_150528.jpg,dataset\generated\train\underexposure\IMG_20240716_150528_underexposure.jpg,underexposure
train,IMG_20240716_150528.jpg,dataset\generated\train\overexposure\IMG_20240716_150528_overexposure.jpg,overexposure
train,IMG_20240716_150528.jpg,dataset\generated\train\noise\IMG_20240716_150528_noise.jpg,noise
train,IMG_20240716_150528.jpg,dataset\generated\train\severe_degradation\IMG_20240716_150528_severe_degradation.jpg,severe_degradation
train,IMG_20240716_075703.jpg,dataset\generated\train\clean\IMG_20240716_075703_clean.jpg,clean
train,IMG_20240716_075703.jpg,dataset\generated\train\blur\IMG_20240716_075703_blur.jpg,blur
train,IMG_20240716_075703.jpg,dataset\generated\train\underexposure\IMG_20240716_075703_underexposure.jpg,underexposure
train,IMG_20240716_075703.jpg,dataset\generated\train\overexposure\IMG_20240716_075703_overexposure.jpg,overexposure
train,IMG_20240716_075703.jpg,dataset\generated\train\noise\IMG_20240716_075703_noise.jpg,noise
train,IMG_20240716_075703.jpg,dataset\generated\train\severe_degradation\IMG_20240716_075703_severe_degradation.jpg,severe_degradation
train,IMG_20240714_170828.jpg,dataset\generated\train\clean\IMG_20240714_170828_clean.jpg,clean
train,IMG_20240714_170828.jpg,dataset\generated\train\blur\IMG_20240714_170828_blur.jpg,blur
train,IMG_20240714_170828.jpg,dataset\generated\train\underexposure\IMG_20240714_170828_underexposure.jpg,underexposure
train,IMG_20240714_170828.jpg,dataset\generated\train\overexposure\IMG_20240714_170828_overexposure.jpg,overexposure
train,IMG_20240714_170828.jpg,dataset\generated\train\noise\IMG_20240714_170828_noise.jpg,noise
train,IMG_20240714_170828.jpg,dataset\generated\train\severe_degradation\IMG_20240714_170828_severe_degradation.jpg,severe_degradation
train,IMG_20240716_080446.jpg,dataset\generated\train\clean\IMG_20240716_080446_clean.jpg,clean
train,IMG_20240716_080446.jpg,dataset\generated\train\blur\IMG_20240716_080446_blur.jpg,blur
train,IMG_20240716_080446.jpg,dataset\generated\train\underexposure\IMG_20240716_080446_underexposure.jpg,underexposure
train,IMG_20240716_080446.jpg,dataset\generated\train\overexposure\IMG_20240716_080446_overexposure.jpg,overexposure
train,IMG_20240716_080446.jpg,dataset\generated\train\noise\IMG_20240716_080446_noise.jpg,noise
train,IMG_20240716_080446.jpg,dataset\generated\train\severe_degradation\IMG_20240716_080446_severe_degradation.jpg,severe_degradation
train,Snapchat-1478306623.jpg,dataset\generated\train\clean\Snapchat-1478306623_clean.jpg,clean
train,Snapchat-1478306623.jpg,dataset\generated\train\blur\Snapchat-1478306623_blur.jpg,blur
train,Snapchat-1478306623.jpg,dataset\generated\train\underexposure\Snapchat-1478306623_underexposure.jpg,underexposure
train,Snapchat-1478306623.jpg,dataset\generated\train\overexposure\Snapchat-1478306623_overexposure.jpg,overexposure
train,Snapchat-1478306623.jpg,dataset\generated\train\noise\Snapchat-1478306623_noise.jpg,noise
train,Snapchat-1478306623.jpg,dataset\generated\train\severe_degradation\Snapchat-1478306623_severe_degradation.jpg,severe_degradation
train,IMG20240811194518.jpg,dataset\generated\train\clean\IMG20240811194518_clean.jpg,clean
train,IMG20240811194518.jpg,dataset\generated\train\blur\IMG20240811194518_blur.jpg,blur
train,IMG20240811194518.jpg,dataset\generated\train\underexposure\IMG20240811194518_underexposure.jpg,underexposure
train,IMG20240811194518.jpg,dataset\generated\train\overexposure\IMG20240811194518_overexposure.jpg,overexposure
train,IMG20240811194518.jpg,dataset\generated\train\noise\IMG20240811194518_noise.jpg,noise
train,IMG20240811194518.jpg,dataset\generated\train\severe_degradation\IMG20240811194518_severe_degradation.jpg,severe_degradation
train,IMG20240812195118.jpg,dataset\generated\train\clean\IMG20240812195118_clean.jpg,clean
train,IMG20240812195118.jpg,dataset\generated\train\blur\IMG20240812195118_blur.jpg,blur
train,IMG20240812195118.jpg,dataset\generated\train\underexposure\IMG20240812195118_underexposure.jpg,underexposure
train,IMG20240812195118.jpg,dataset\generated\train\overexposure\IMG20240812195118_overexposure.jpg,overexposure
train,IMG20240812195118.jpg,dataset\generated\train\noise\IMG20240812195118_noise.jpg,noise
train,IMG20240812195118.jpg,dataset\generated\train\severe_degradation\IMG20240812195118_severe_degradation.jpg,severe_degradation
train,IMG_20240716_111214.jpg,dataset\generated\train\clean\IMG_20240716_111214_clean.jpg,clean
train,IMG_20240716_111214.jpg,dataset\generated\train\blur\IMG_20240716_111214_blur.jpg,blur
train,IMG_20240716_111214.jpg,dataset\generated\train\underexposure\IMG_20240716_111214_underexposure.jpg,underexposure
